RouteID,PaymentPlan,StartHub,StartLatitude,StartLongitude,StartDate,StartTime,EndHub,EndLatitude,EndLongitude,EndDate,EndTime,TripType,BikeID,BikeName,Distance_Miles,Duration,RentalAccessPath,MultipleRental
10150371,Subscriber,SW 3rd at Ankeny,45.52247868,-122.6732969,11/1/2018,0:09,,45.5132329,-122.688131,11/1/2018,0:25,,7309,0995 BETRUE 2018 TRAINER,1.15,0:15:55,keypad,FALSE
10150406,Casual,SE 34th at Hawthorne,45.511907,-122.6294804,11/1/2018,0:20,SE Clinton at 26th,45.50356665,-122.6395279,11/1/2018,0:35,,7310,0968 BETRUE TRAINER,1.37,0:15:18,keypad,FALSE
10150411,Subscriber,,45.5088042,-122.6655893,11/1/2018,0:22,SE 2nd Pl at Tilikum Way,45.50624163,-122.6633379,11/1/2018,0:29,,7187,0155 BIKETOWN,0.56,0:07:06,keypad_rfid_card,FALSE
10150415,Subscriber,,45.5170806,-122.6797003,11/1/2018,0:24,Urban Center Plaza at SW 6th St,45.51158277,-122.682281,11/1/2018,0:30,,6075,0873 BIKETOWN,0.43,0:05:47,mobile,FALSE
10150425,Subscriber,NW Pettygrove at 15th,45.53290424,-122.68626,11/1/2018,0:28,NW 23rd at Overton,45.53211645,-122.6986304,11/1/2018,0:34,,7176,0484 BIKETOWN,0.62,0:05:23,keypad_rfid_card,FALSE
10150440,Casual,,45.5193521,-122.679635,11/1/2018,0:32,NW Johnson at Jamison Square,45.5286366,-122.6820195,11/1/2018,0:39,,6215,0841 BIKETOWN,0.84,0:06:49,keypad,FALSE
10150472,Subscriber,,45.5298277,-122.6673208,11/1/2018,0:42,,45.5305596,-122.6683984,11/1/2018,0:53,,6517,0476 AIX BIKETOWN,0.43,0:10:34,keypad_rfid_card,FALSE
10150499,Subscriber,SW 2nd at Pine,45.52142066,-122.6726291,11/1/2018,0:53,SW 2nd at Pine,45.52142066,-122.6726291,11/1/2018,0:54,,6521,0829 BIKETOWN,0,0:01:35,mobile,FALSE
10150500,Casual,SW 2nd at Pine,45.52142066,-122.6726291,11/1/2018,0:53,SW 2nd at Pine,45.52142066,-122.6726291,11/1/2018,0:55,,6220,0659 BIKETOWN,0,0:02:09,mobile,FALSE
10150505,Subscriber,,45.559097,-122.6497277,11/1/2018,0:54,,45.5627257,-122.6496997,11/1/2018,0:57,,5989,0872 BIKETOWN,0.26,0:02:42,mobile,FALSE
