bikeid,fdpre,fname,ftype,length_m,facility2008,facility2009,facility2010,facility2011,facility2012,facility2013
194954,,,,37.9469571378556,,,,,,
112008,NE,HALSEY,ST,70.9211577205802,,,,,,
112109,NE,120TH,AVE,63.1130640859096,,,,,,
112023,NE,BROADWAY,,158.688897516374,,,,,,
112077,NE,51ST,AVE,41.1303427849246,,,,,,
112005,NE,HALSEY,ST,28.5352208823024,,,,,,
196051,,,,53.3419916944967,,,,,,
190649,NE,HALSEY,ST,79.3325228927396,,,,,,
112110,NE,7TH,AVE,79.427182848958,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE
112029,NE,HALSEY ST-CLACKAMAS ST,ALY,163.478167052381,,,,,,
136464,NE,MARTIN LUTHER KING JR,BLVD,78.651703393111,,,,,,
136263,NE,CLACKAMAS,ST,79.1815031833466,,,,,,
136283,NE,HALSEY,ST,69.4526858426512,,,,,,
170732,SE,133RD,DR,45.0520818434092,,,,,,
181100,NE,SANDY,BLVD,5.10744340306803,,,,,,
183633,NE,43RD,AVE,108.318014360536,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES
160005,NE,HALSEY,ST,138.819173536014,,,,,,
170503,NE,159TH,AVE,97.593016683994,,,,,,
112064,NE,127TH,AVE,46.9370169431683,,,,,,
112095,NE,103RD,PL,85.547970621699,,,,,,
136284,NE,HALSEY,ST,97.689367552481,,,,,,
112132,NE,126TH,AVE,111.070450876494,,,,,,
111982,NE,SCHUYLER,ST,125.35652179035,,,,,,
198555,N,FESSENDEN,ST,53.6200123572221,,,,,,
136269,NE,I84 FWY-33RD AVE,RAMP,220.235773251425,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES,NO-BIKES
136442,NE,33RD,AVE,65.5449909635678,,,,,,
904136757,NW,NAITO,PKWY,137.859098215193,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE
185646,NE,HALSEY,ST,87.1905839806127,,,,,,
112268,NE,114TH,AVE,202.025362147214,,,,,,
131795,SW,43RD,AVE,79.1997403459703,,,,,,
111957,NE,HALSEY,ST,143.776404877031,,,,,,
190029,NE,SCHUYLER,ST,22.6129918847511,,,,,,
112002,NW,CORNELL,RD,186.531078813305,,,,,,
197003,NE,SCHUYLER,ST,15.9855463930119,,,,,,
111999,NE,NEWPORT,ST,81.8011822186641,,,,,,
181447,SW,DAKOTA,ST,48.4966161511941,,,,,,
182954,NE,MASON,ST,93.5555977431242,,,,,,
194171,NE,56TH AVE-57TH AVE,ALY,70.2267618758924,,,,,,
198093,SW,WHITAKER,ST,78.5538890862561,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE
184672,E,BURNSIDE,ST,54.5790244659758,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE
185932,N,INTERSTATE,AVE,63.693215577813,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE
704193,,,,82.2462734857719,PTH-LOMU,PTH-LOMU,PTH-LOMU,PTH-LOMU,PTH-LOMU,PTH-LOMU
199042,SE,HENDERSON,ST,175.707319898268,,,,,,
198500,N,FISKE,AVE,61.1307211080454,,,,,,
183799,N,INTERSTATE,AVE,79.1340537197138,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE
136172,NW,PETTYGROVE,ST,80.1410904548346,,,,,,
136363,NW,17TH,AVE,79.2477395763006,,,,,,
136183,NW,PETTYGROVE,ST,30.8950756619504,,,,,,
151948,NW,PETTYGROVE,ST,22.7594698817511,,,,,,
185915,N,ANCHOR,ST,39.5092326707024,,,,,,
105086,NE,COLUMBIA,BLVD,331.855572027685,,,,,,
104937,NE,CORNFOOT,RD,717.92127308864,,,,,,
119393,SW,HUMPHREY,BLVD,202.519507297933,,,,,,
121085,SW,US VETERANS HOSPITAL,RD,118.758668913259,,,,,,
111921,NW,PETTYGROVE,ST,158.496677857547,,,,,,
112046,NW,23RD,AVE,79.2531987893797,,,,,,
112050,NW,25TH,AVE,79.2478389818602,,,,,,
120457,SW,HEWETT,BLVD,161.500820723289,,,,,,
121750,SW,MARQUAM HILL,RD,98.3186975222152,,,,,,
121810,SW,MARQUAM HILL,RD,25.2242066035836,,,,,,
124049,SW,FAIRMOUNT,BLVD,221.675694022823,,,,,,
184855,N,INTERSTATE,AVE,106.556801615771,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE,BKE-LANE
140229,SW,VISTA,AVE,143.207027052902,,,,,,
150261,SW,FAIRMOUNT,BLVD,232.112188839891,,,,,,
160064,SE,CLATSOP,ST,33.891652088334,,,,,,
181109,SW,VISTA,AVE,15.4544669330143,,,,,,
194734,SW,HUMPHREY,BLVD,512.009958938508,,,,,,
198327,SW,SAM JACKSON PARK,RD,196.409286204032,,,,,,
193652,NW,CORNELL,RD,122.441179382533,,,,,,
111977,NE,SCHUYLER,ST,89.1450931245115,,,,,,
111919,NE,SCHUYLER,ST,156.037611111427,,,,,,
